이름,국어,영어,수학,과학,총점,평균,등급
이지유,80,75,50,53,258,64.5,D
황서준,44,77,56,75,252,63.0,D
윤민서,94,63,97,84,338,84.5,B
김서현,59,98,84,74,315,78.75,C
장민서,83,98,41,67,289,72.25,C
김윤서,43,52,74,90,259,64.75,D
홍서연,54,80,40,78,252,63.0,D
김지아,95,50,75,57,277,69.25,D
조지우,43,56,64,97,260,65.0,D
안준서,60,85,80,99,324,81.0,B
송서현,52,95,82,43,272,68.0,D
김서윤,71,89,78,89,327,81.75,B
안지아,65,41,71,47,224,56.0,E
홍민서,95,56,72,80,303,75.75,C
장서현,96,90,68,71,325,81.25,B
박주원,48,59,58,98,263,65.75,D
전주원,71,95,74,63,303,75.75,C
오준서,47,58,78,97,280,70.0,C
황윤서,98,74,67,77,316,79.0,C
박도윤,66,89,68,49,272,68.0,D
최하윤,98,94,47,99,338,84.5,B
강서현,86,78,82,50,296,74.0,C
강서현,81,76,40,60,257,64.25,D
안지아,95,63,81,89,328,82.0,B
임지호,46,41,40,90,217,54.25,E
전서윤,77,68,94,54,293,73.25,C
황도윤,47,90,83,52,272,68.0,D
한주원,94,66,80,84,324,81.0,B
정윤서,95,74,59,65,293,73.25,C
신서윤,57,78,71,64,270,67.5,D
서도윤,71,51,66,42,230,57.5,E
전시우,49,68,69,71,257,64.25,D
송하윤,41,85,69,69,264,66.0,D
오예준,50,84,56,64,254,63.5,D
안민서,53,97,55,49,254,63.5,D
한시우,43,54,68,70,235,58.75,E
전서연,99,43,59,67,268,67.0,D
임준서,99,86,68,75,328,82.0,B
장지유,81,57,78,100,316,79.0,C
임윤서,63,75,67,97,302,75.5,C
한서준,52,55,68,62,237,59.25,E
신시우,43,85,92,82,302,75.5,C
권지후,76,99,89,80,344,86.0,B
정지유,50,97,100,41,288,72.0,C
강준서,78,66,43,88,275,68.75,D
임지유,71,54,85,93,303,75.75,C
한지우,57,48,74,64,243,60.75,D
강민준,59,67,93,69,288,72.0,C
오서연,56,56,94,70,276,69.0,D
신서현,85,74,51,65,275,68.75,D
오서현,68,56,60,46,230,57.5,E
오하윤,44,64,80,54,242,60.5,D
권도윤,91,59,42,43,235,58.75,E
송지후,45,70,99,98,312,78.0,C
황지유,83,53,87,83,306,76.5,C
전하윤,59,71,63,43,236,59.0,E
한하윤,79,80,57,60,276,69.0,D
권지유,85,81,79,89,334,83.5,B
홍서현,48,67,40,94,249,62.25,D
이시우,74,75,95,85,329,82.25,B
홍윤서,53,58,64,46,221,55.25,E
황민서,58,58,95,60,271,67.75,D
박지우,84,71,66,56,277,69.25,D
황민서,96,45,64,95,300,75.0,C
강하윤,74,54,76,88,292,73.0,C
김하준,75,73,68,41,257,64.25,D
한준서,83,80,63,81,307,76.75,C
송서현,54,89,74,83,300,75.0,C
장서준,90,53,80,83,306,76.5,C
신주원,76,51,100,59,286,71.5,C
장지후,70,62,47,81,260,65.0,D
한서연,46,51,98,77,272,68.0,D
정지호,78,69,91,95,333,83.25,B
안하준,74,45,72,94,285,71.25,C
김지우,77,61,52,81,271,67.75,D
전윤서,52,65,57,68,242,60.5,D
박하윤,62,68,71,72,273,68.25,D
정민준,86,68,73,85,312,78.0,C
황서윤,100,82,75,43,300,75.0,C
임지우,62,57,75,92,286,71.5,C
김서연,94,41,53,93,281,70.25,C
서서연,61,87,96,41,285,71.25,C
전서윤,93,46,66,73,278,69.5,D
서하은,72,81,86,60,299,74.75,C
김하은,82,72,47,47,248,62.0,D
조하은,80,40,99,64,283,70.75,C
서지유,68,59,62,59,248,62.0,D
정서연,54,50,42,93,239,59.75,E
강하은,53,73,81,67,274,68.5,D
황지후,44,56,83,68,251,62.75,D
김서윤,90,79,59,65,293,73.25,C
신도윤,73,94,75,55,297,74.25,C
서민준,81,70,84,87,322,80.5,B
조도윤,62,81,75,63,281,70.25,C
강서준,78,73,100,50,301,75.25,C
오예준,61,78,83,45,267,66.75,D
정지후,76,76,89,62,303,75.75,C
전서현,97,63,78,79,317,79.25,C
박민준,91,85,71,81,328,82.0,B
박지아,54,91,98,62,305,76.25,C
